GroupName,en,ko,cn,jp,ph,kh,th,af,ru,vn,ar,sentence
색,black,검정,黑,黒い,itim na itim,ខ្មៅ,ดำ,Swart,чёрный,đen,أسود,"The night sky is so black.
응, 아주 어두워.
Yes, it's very dark.
밤하늘이 정말 검다."
색,blue,파랑,蓝,青い,asul na asul,ខៀវ,ฟ้า,Blou,синий,xanh,أزرق,"The ocean looks blue and calm. 
It's beautiful.
바다는 파랗고 잔잔해 보인다.
아름답다."
색,bright,밝다,明亮,明るい,maliwanag na maliwanag,ភ្លឺថ្លា,สว่าง,Helder,яркий,sáng,مضيء,"The sun is so bright.
태양이 너무 밝아요.
Yes, I need sunglasses.
네, 선글라스가 필요해요."
색,brown,갈색,棕色,褐色,kayumanggi,ពណ៌ ត្នោត,น้ำตาล,Bruin,коричневый,nâu,أسمر,"The dog is brown.
그 개는 갈색이에요.
It's very cute.
정말 귀엽네요."
색,color,색,颜色,色,kulay ng kulay,ពណ៌,สี,Kleur,Цвет,màu,لون,"What is your favorite color?
당신이 가장 좋아하는 색은 무엇인가요?
I like blue.
나는 파란색을 좋아해요."
색,dark,어둠,黑暗,暗い,madilim na,ងងឹត,มืด,Donker,темный,tối,داكن,"The room is dark.
방이 어두워요.
Let's turn on the light.
불을 켜자."
색,gold,금,金,金,ginto na,មាស សុខសោភា,ทอง,Goud,золото,vàng,ذهب,"The trophy is gold.
트로피가 금색이야.
It's so shiny.
정말 반짝거려."
색,green,녹색,绿,緑,berde,បៃតង,เขียว,Groen,зеленый,xanh,أخضر,"The grass is so green.
잔디가 정말 초록색이에요.
It's very beautiful.
아주 아름다워요."
색,gray,회색,灰色,灰色,kulay abo,grey,เทา,Grys,серый,xám,رمادي,"The sky looks gray today.
오늘 하늘이 회색이야.
It might rain.
비가 올 것 같아."
색,pink,분홍색,粉红色,ピンク,kulay rosas,ពណ៌ផ្កាឈូក,ชมพู,Pienk,розовый,hồng,وردي,"She is wearing a pink dress.
It suits her well.
그녀는 분홍색 드레스를 입고 있어요.
잘 어울려요."
